Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Риск-менеджер/Data Scientist,,АО Банк ЦентрКредит,Алматы,"Анализ данных и мониторинг риск-показателей. Разработка и валидация моделей. Сбор витрин для моделей и аналитических отчетов. Разработка аналитических решений...Моделирование на одном из инструментов: Python, SAS base, SAS EM. Умение разрабатывать витрины для моделирования и знание pl sql на...",АО Банк ЦентрКредит
Преподаватель программирования,100000 – 300000 KZT,ТОО Тереной,"Алматы, Сайран","Проведение групповых уроков по программированию с любой точки Казахстана и мира. Своевременное проведение пробных и регулярных уроков на платформе ZOOM...Знание языка Python. Образование: высшее. Свободное владение компьютером. Знание инструментов Google/Microsoft Office(Excel, Docs, ect), Zoom, Google Meets.",ТОО Тереной
Middle Python Developer,,ТОО EA Group Holding,Алматы,Выдвижение и проверка гипотез для ускорения и увеличения сбора. Предложения по архитектурным улучшениям системы. Подбор оптимальных метрик для измерения скорости...Опыт разработки на Python - не менее 2 лет. Опыт написания парсеров.,ТОО EA Group Holding
ETL разработчик,,"Beeline, ТМ",Алматы,"Устанавливать, настраивать и поддерживать в рабочем состоянии распределенное ПО для обработки данных. Настраивать потоки данных в распределенное хранилище данных Hadoop...Java/Scala/Groovy/Python- Хороший опыт программирования на одном из языков (знание нескольких языков будет плюсом). Знание/понимание того, как...","Beeline, ТМ"
Архитектор данных,,ТОО MAGNUM. Проектный офис/Жобалау кеңсесі,Алматы,"Цель должности: подготовка, очистка данных, построение пайплайнов обмена и передачи данных, планирование и построение архитектура КХД и облачного хранилища, автоматизация......чистка, обработка с использованием SQL и Python. Отличные навыки работы с данными в Python при помощи pyspark. Практический опыт от...",ТОО MAGNUM. Проектный офис/Жобалау кеңсесі
Middle Data Engineer,,Playrix,Алматы,"Подготовка источников данных для заказчика - маркетинг и игровая аналитика. Разработка конвейера поставки данных - Python-таски для трансформации и валидации данных. Отличное знание Python, опыт разработки на нем, умение читать и анализировать чужой код. Навыки написания и оптимизации SQL запросов, готовность...",Можно работать из дома
Разработчик ETL процессов,,АО Народный банк Казахстана,Алматы,"Разработка требований к качеству данных и применения процедур Data Quality. Анализ причин ошибок в коде/мэппингах. Написание оптимальных аналитических запросов. Опыт работы с PostgreSQL, Greenplum от 1 года. Знание Python, R. Опыт работы с BI инструментами Power BI/Qlik Sense.",АО Народный банк Казахстана
Senior Python Developer,,Новео,Алматы,"Regular promotion based on the results of performance review. Code review in every project.Great knowledge and skills of Python, Django or Flask framework development. Production experience at least 1 year or more.",Можно работать из дома
DevTestOps Еngineer,,"Beeline, ТМ",Алматы,"Планирование, проектирование, создание сценариев разработки. Подготовка соответствующих инструментов. Внедрение автоматизации. Участие в разработке сервисов и приложений. Обеспечение бесперебойной работы инфраструктуры...Опыт работы Devops engineer от 1 года. Практический опыт построения CI/CD в GitLab. Понимание TestOps-практик культуры и тулинга.","Beeline, ТМ"
Разработчик Big Data,,"Beeline, ТМ",Алматы,"Проектирование, разработка, внедрение, автоматизация программного обеспечения для развития и поддержания работоспособности проектов/продуктов Big Data. Автоматизация процессов построения и обновления...Опыт разработки на C/Java/Scala/Python от 2 лет. Опыт работы с реляционными и NoSQL базами. Хорошее знание SQL...",Можно работать из дома
Программист,,ТОО Caspian Offshore Construction Realty,Алматы,"Разработка решений по автоматизации. Доработка существующих решений и разработка новых. Автоматизация внутренних и внешних процессов.Высшее образование. Владение PHP, Python, СУБД.",ТОО Caspian Offshore Construction Realty
Разработчик ETL,,DIS Group,Алматы,"Участие в проектной деятельности в качестве разработчика интеграции и разработчика DWH с использованием продуктов Informatica Power Center, Data Quality, Power...Опыт работ с Oracle DB, Greenplum, Arenadata. Опыт работы с Apache Airflow, Apache NiFi . Опыт работы на Python.",DIS Group
Python разработчик (ментор),130000 – 180000 KZT,ТОО itcbootcamp ( айтисибууткэмп),Алматы,"Обучение студентов, проведение занятий. Проверка домашних заданий. Улучшение программы обучения. Проектирование ПО. Разработка телеграм ботов. Система контроля версиями - GIT.Владение языком программирования Python на профессиональном уровне. Опыт разработки на Python от 2 лет. Опыт в программировании. Алгоритмы и структуры...",ТОО itcbootcamp ( айтисибууткэмп)
