Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Специалист по информационным системам,480000 – 650000 KZT,ТОО АНКОР Центральная Азия,Алматы,"Delphi - доработка существующего ПО. *C# - утилита создания dbf-файлов, загрузка данных во внешние источники. *Python -загрузка данных ЭСФ, СНТ, курсов...Требования к опыту: *Высшее техническое образование, желательно в области ИТ. *Опыт работы не менее 3-х лет на должности специалиста...",ТОО АНКОР Центральная Азия
Associate/Senior Associate to Valuation and Data Analytics,,PricewaterhouseCoopers,Алматы,Taking part in different stages of Financing/ Business plan development/Market research/ Financial modelling / Valuation projects. Carrying out financial analysis...Knowledge of machine learning algorithms and time series forecasting is a plus. Knowledge of Python for date processing is a...,PricewaterhouseCoopers
Инженер DevOps,150000 – 300000 руб.,Southbridge,Алматы,"Мы, Southbridge, активно развиваемся с 2007 года, внедряем DevOps-решения и занимаемся поддержкой нагруженных серверов: сайты, интернет-магазины, базы данных...Как работают в Southbridge? С каким стеком обычно работаем и то, что нужно знать обязательно: - стек веб - технологий (Nginx, Apache...",Можно работать из дома
Стажер JUMP: Make It Bright отдела по стратегическому планированию,,ТОО JTI Kazakhstan,Алматы,"Подготовка и проведение маркетинговых, торговых, ценовых и потребительских исследований с целью обеспечения точной информацией о текущих и потенциальных тенденциях рынка...Аналитический склад ума и навыки интерпретации данных маркетинговых исследований. Знания компьютерных программ: языки программирования - Python и R (Pandas & Scripy), сервисы...",ТОО JTI Kazakhstan
"Team Lead / Tech Lead (CV, Data Science)",,"Kaspi Bank, АО",Алматы,"Улучшают процессы распознавания лица и оцифровки документов. Занимаются поиском и разработкой новых решений по идентификации и верификации лица. Руководящий опыт (работа с командой), плюсом будет наличие достижений в качестве руководителя. Необходимый стэк технологий: Linux, Python, OracleSQL, TF/Pytorch...","Kaspi Bank, АО"
Django Backend Developer (middle+),,Chocofamily,Алматы,"Интеграции со сторонними сервисами. Разработка\доработка новых сервисов. Эффективный алгоритм доставки и многое другое.Уверенный уровень знания фреймворков Django, Django REST framework, FastAPI\Flask. Умение проектировать модели данных PostgreSql, Mongo, Redis и др. ,",Chocofamily
Middle Java Engineer,,ТОО EA Group Holding,Алматы,"Участвовать в достижении поставленных в рамках спринтов целей. Писать качественный, хорошо поддерживаемый код. Помогать Junior разработчикам. Принимать участие в обсуждении...Опыт разработки от 3 лет. Хорошее понимание программирования, Computer Science, программных архитектур. Желание делиться знаниями и опытом. Желание быть хорошим...",ТОО EA Group Holding
"Ведущий инженер PS Core (Дирекция эксплуатации сети, Алматы)",,"Beeline, ТМ",Алматы,"Осуществляет приемку в эксплуатацию оборудования PS Core (vEPC). Эксплуатирует оборудование мониторинга и управления сетью PS Core (vEPC): Участвует в запуске...Высшее (техническое образование). Стаж работы в отрасли связи: не менее 3 лет. Теоретические основы электротехники, системных технологий и радиосвязи, практика...","Beeline, ТМ"
Главный эксперт (ИТ архитектор),,АО Jusan Bank,Алматы,"Систематизация, структуризация, автоматизация ИТ бизнес-процессов компании. Проектирование целевой ИТ архитектуры Банка (прикладное программное обеспечение / данные /инфраструктура / технологии) и контроль...Опыт администрирования сетевой или ИТ инфраструктуры/(или) опыт разработки на одном из высокоуровневых языков программирования (Java EE, Python,PHP, C#...",АО Jusan Bank
Full Stack Web developer,,"Kaspi Bank, АО",Алматы,"Проектирование и разработка проектов, сервисов, сайтов. Тестирование, внедрение и организация корректного взаимодействия с другими сервисами. Поддержка и устранение ошибок в...Умение составлять и читать ТЗ. Умение разбираться в чужом коде. Знание языков программирования: Java Script, PHP. Знание и умение работать...","Kaspi Bank, АО"
Unity разработчик Middle/Senior,,ТОО TECHNICAL CONSULTING AND SOLUTIONS,Алматы,"Информация по проекту, финальному окладу или другим интересующим вас вопросам будет доступна во время интервью.Обязателен опыт работы с Unity от 1 года, и да, хоббиside projectsfreelance относятся к опыту работы ). Опыт с WebGL станет...",ТОО TECHNICAL CONSULTING AND SOLUTIONS
"Low-Code Developer (SPO, Power Apps)",,ТОО KPMG,Алматы,"Participation in development of required applications and tools, i.e., internal tools, enablers, client products, including integrations with different applications...Some development experience (e.g., VBA, C#, .NET, SQL, JavaScript, Angular JS, Python). Experience with RPA, low-code and BPM...",ТОО KPMG
VP / Vice President of Engineering,,Improvado,Алматы,"Research, analyze, design, propose and support the delivery of solutions that are appropriate for the business and technology strategies. Experienced with several programming paradigms. Deep understanding of SOLID, DDD, various architecture design patterns. Able to design and architect maintainable...",Improvado
Full-stack web-программист,200000 – 300000 KZT,ТОО Dobro Dent,Алматы,"Доработка сайтов и внутренних систем компании.Знания ООП, PHP, LARAVEL, MySQL, JavaScript. Работа с CMS (различными). Умение верстать сайты (адаптивная вертка). Умение читать чужой код.",ТОО Dobro Dent
Back-end разработчик уровня Middle/Senior,500000 – 1000000 KZT,ТОО RM & COMPANY,Алматы,"Разработка веб приложение на Django. - Разработка REST сервисов на DRF. - Писать unit tests. - Тесная работа с фронтенд. - систем автоматизации бизнеса. - Python 3.6-3.8. - Опыт работы с Django/DRF. - Опыт работы с Redis, RabbitMQ, Docker, и похожие технологии. -",ТОО RM & COMPANY
Middle DevOps Engineer,600000 – 1000000 KZT,ТОО Интернет-компания PS,"Алматы, Жибек Жолы","Работа в команде поддержки сайтов и приложений клиентов. Необходимо помогать заказчикам: Проектировать инфраструктуру или улучшать существующую, предлагать работающие решения. ...с gitlab или аналогами. Умение строить пайплайны и интегрировать их в инфраструктуру. Желательно уметь: Bash и python для автоматизации рутины.",ТОО Интернет-компания PS
Разработчик R&D,,ТОО ЭВОТЕК ЦЕНТРАЛЬНАЯ АЗИЯ (Evotech CA),Алматы,"Занимается разработкой программных продуктов в соответствии с бизнес-задачами, нацеленными на развитие Компании.Знания Java SE8. Навыки работы с Maven. Уверенные знания Python (указать используемый фреймворк, привести примеры работ). Формирование структуры разрабатываемого...",ТОО ЭВОТЕК ЦЕНТРАЛЬНАЯ АЗИЯ (Evotech CA)
Front end/Full stack разработчик сайтов в Digital Agency,200000 – 300000 KZT,ТОО GB Travel,Алматы,"Разработка сайтов в основном лендинги, корпоративные сайты, интернет магазины ( верстка с прототипов сайтов в Figma). Разработка веб приложений.Опыт работы более 2 лет. Знание html, css, javascript, php, python, react, Wordpress. Оперативность и ответственность. Обязательно Портфолио ( без портфолио...",Можно работать из дома
Веб-администратор,,"АО КазНИИСА, АО",Алматы,"Администрирование web сайта. Обеспечение непрерывного функционирования сайта. Доработка существующего функционала. Оформление сопутствующей технической документации. Выполнение периодического резервное копирования баз данных. Навыки администрирования Linux серверов (обязательно). Знание скриптовых языков - python, bash. Знание ansible. Знание docker (обязательно). Знание СУБД PostgreSQL.","АО КазНИИСА, АО"
"Full-Stack web developer (php, vue, ws)",400000 – 600000 KZT,ТОО KazakhInvest Partners,Алматы,"Работа над backend. Работа над frontend (обычно мы делегируем верстку на аутсорс и сами занимаемся только программированием интерфейсов). Некоторые из перечисленных далее технологий в вашем стеке: React, Node, Express, Python, Go, Alpine.Js. Навыки разработки мобильных приложений (любые технологии...",ТОО KazakhInvest Partners
Администратор информационной системы,до 500000 KZT,АО Товарная биржа Alan,"Алматы, Абая","Администрирование серверов под ОС Ubuntu. Управлять учетными записями серверов и прикладного обеспечения. Формировать отчеты торговой системы. Разграничивать доступ к серверам...Работа с Microsoft Office (MS Excel особенно). Приветствуется: Знание программирования django/python, веб-серверов (nginx/apache). Знания angular node.js (npm).",АО Товарная биржа Alan
"ANDROID и iOS, веб разработчик в город Алматы, Казахстан",,ТОО KAZAGRO-PRO,Алматы,"Создание нового и оптимизация работы имеющегося функционала. Развитие и поддержка мобильных приложений компании на платформе Android, iOS. Глубокое понимание Java...Наличие завершенных Android или iOS приложений. Скриптовые языки программирования (Ruby, Python), принципы клиент-серверной модели... Знание Model-View-Presenter (MVP...",ТОО KAZAGRO-PRO
Стажер-программист 1С,100000 – 400000 KZT,ИП Гуринов Анатолий,Алматы,"Разработка программного кода на платформе 1С Предприятие. Поведение демонстраций и консультаций для пользователей программных продуктов семейства 1С Предприятие.Высшее (неоконченное высшее) образование в области IT (computer science, data science, etc.) будет преимуществом. Твердые базовые знания любого языка программирования...",ИП Гуринов Анатолий
